NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NZ_CP038615.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN3, complete sequence
NZ_CP038616.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN4, complete sequence
NZ_CP038617.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN5, complete sequence
NZ_CP038618.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN6, complete sequence
NZ_CP038619.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN7, complete sequence
NZ_CP038620.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN8, complete sequence
NZ_CP038621.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN9, complete sequence
NZ_CP038622.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN10, complete sequence
NZ_CP038623.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN11, complete sequence
NZ_CP038624.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN12, complete sequence
NZ_CP038625.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN13, complete sequence
NZ_CP038626.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN14, complete sequence
NZ_CP038627.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN15, complete sequence
NZ_CP038628.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN16, complete sequence
NZ_CP038629.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN17, complete sequence
NZ_CP038630.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN18, complete sequence
NZ_CP038267.1 Nocardioides euryhalodurans strain MMS17-SY117 chromosome, complete genome
NZ_CP038471.1 Enterobacter roggenkampii strain BP10374 chromosome, complete genome
NZ_CP026445.1 Bordetella pertussis strain J270 chromosome, complete genome
NZ_CP038492.1 Boseongicola sp. CCM32 chromosome, complete genome
NZ_CP035929.1 Klebsiella pneumoniae strain B31 chromosome, complete genome
NZ_CP026430.1 Bordetella pertussis strain J364 chromosome, complete genome
NZ_CP026449.1 Bordetella pertussis strain J266 chromosome, complete genome
NZ_CP039279.1 Salmonella enterica strain CFIAFB20170119 chromosome, complete genome
NZ_CP039280.1 Salmonella enterica strain CFIAFB20170119 plasmid pGTAFD2016-MI-0253.1, complete sequence
NZ_CP039281.1 Salmonella enterica strain CFIAFB20170119 plasmid pGTAFD2016-MI-0253.2, complete sequence
NZ_CP039282.1 Salmonella enterica strain CFIAFB20170119 plasmid pGTAFD2016-MI-0253.3, complete sequence
NZ_CP033189.1 Xanthomonas oryzae pv. oryzae strain PXO421 chromosome, complete genome
NZ_CP032398.1 Neisseria gonorrhoeae strain TFG-A2 chromosome, complete genome
NZ_CP032399.1 Neisseria gonorrhoeae strain TFG-A2 plasmid pTFGA2, complete sequence
NZ_CP039569.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014852 chromosome, complete genome
NZ_CP039570.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014852 plasmid p09-0642.1, complete sequence
NZ_CP039571.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014852 plasmid p09-0642.2, complete sequence
NZ_CP038662.1 Serratia nematodiphila strain DH-S01 chromosome, complete genome
NZ_CP026897.1 Bordetella pertussis strain J679 chromosome, complete genome
NZ_CP032096.1 Hydrogenovibrio crunogenus strain SP-41 chromosome, complete genome
NZ_CP026997.1 Bordetella pertussis strain J085 chromosome, complete genome
NZ_CP033182.1 Xanthomonas oryzae pv. oryzae strain CFBP1952 chromosome, complete genome
NZ_CP038258.1 Acinetobacter baumannii strain 39741 chromosome, complete genome
NZ_CP038259.1 Acinetobacter baumannii strain 39741 plasmid pEH_gr13, complete sequence
NZ_CP038260.1 Acinetobacter baumannii strain 39741 plasmid pEH_gr3, complete sequence
NZ_CP038261.1 Acinetobacter baumannii strain 39741 plasmid pEH_mcr4.3, complete sequence
NZ_CP039255.1 Stenotrophomonas sp. PAMC25021 chromosome, complete genome
NZ_CP036377.1 Xanthomonas oryzae pv. oryzae strain CIX2374 chromosome, complete genome
NZ_CP038026.1 Massilia plicata strain DSM 17505 chromosome, complete genome
NZ_CP026462.1 Bordetella pertussis strain J251 chromosome, complete genome
NZ_CP020960.1 Staphylococcus aureus strain JK3137 chromosome, complete genome
NZ_CP026620.1 Bordetella pertussis strain J632 chromosome, complete genome
NZ_CP036293.1 Akkermansia muciniphila strain 139 chromosome, complete genome
NZ_CP036488.1 Rahnella aquatilis strain MEM40 plasmid pMEM40-1, complete sequence
NZ_CP036489.1 Rahnella aquatilis strain MEM40 plasmid pMEM40-2, complete sequence
NZ_CP026467.1 Bordetella pertussis strain J401 chromosome, complete genome
NZ_CP036535.1 Corynebacterium pseudotuberculosis strain E7 chromosome, complete genome
NZ_CP033193.2 Xanthomonas oryzae pv. oryzae strain JW11089 chromosome, complete genome
NZ_CP028727.1 Enterococcus faecium strain FSIS1608820 chromosome, complete genome
NZ_CP028728.1 Enterococcus faecium strain FSIS1608820 plasmid pFSIS1608820, complete sequence
NZ_CP034383.1 [Mycobacterium] chelonae subsp. chelonae strain DSM 43804 chromosome, complete genome
NZ_CP026884.1 Bordetella pertussis strain J700 chromosome, complete genome
NZ_CP039024.1 Acinetobacter baumannii ATCC 17978 substr. PMR-High plasmid unnamed1
NZ_CP039025.1 Acinetobacter baumannii ATCC 17978 substr. PMR-High chromosome, complete genome
NZ_CP039026.1 Acinetobacter baumannii ATCC 17978 substr. PMR-High plasmid unnamed2
NZ_CP038180.1 Escherichia coli strain 2 HS-C chromosome, complete genome
NZ_CP038181.1 Escherichia coli strain 2 HS-C plasmid p2HS-C-1, complete sequence
NZ_CP038182.1 Escherichia coli strain 2 HS-C plasmid p2HS-C-2, complete sequence
NZ_CP026902.1 Bordetella pertussis strain J617 chromosome, complete genome
NZ_CP039457.1 Streptococcus pasteurianus strain WUSP067 chromosome, complete genome
NZ_CP032229.1 Streptomyces seoulensis strain KCTC 9819 chromosome, complete genome
NZ_CP032230.1 Streptomyces seoulensis strain KCTC 9819 plasmid unnamed
NZ_CP038819.1 Staphylococcus aureus strain O82 chromosome, complete genome
NZ_CP039595.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014865 chromosome, complete genome
NZ_CP039596.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014865 plasmid p12-4331.1, complete sequence
NZ_CP039597.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014865 plasmid p12-4331.2, complete sequence
NZ_CP039598.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014865 plasmid p12-4331.3, complete sequence
NZ_CP039383.1 Luteimonas sp. S-1072 chromosome, complete genome
NZ_AP019389.1 Erythrobacter flavus strain KJ5
NZ_CP039476.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000963 chromosome, complete genome
NZ_CP038271.1 Legionella geestiana strain 1308 chromosome, complete genome
NZ_CP038272.1 Legionella geestiana strain 1308 plasmid unnamed, complete sequence
NZ_CP026629.1 Bordetella pertussis strain J386 chromosome, complete genome
NZ_CP038015.1 Paenisporosarcina antarctica strain CGMCC 1.6503 chromosome, complete genome
NZ_CP038016.1 Paenisporosarcina antarctica strain CGMCC 1.6503 plasmid unnamed, complete sequence
NZ_CP038500.1 Acinetobacter baumannii strain CIAT758 chromosome, complete genome
NZ_CP038501.1 Acinetobacter baumannii strain CIAT758 plasmid unnamed1, complete sequence
NZ_CP038502.1 Acinetobacter baumannii strain CIAT758 plasmid unnamed2, complete sequence
NZ_CP038503.1 Acinetobacter baumannii strain CIAT758 plasmid unnamed3, complete sequence
NZ_CP025273.1 Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1923 chromosome, complete genome
NZ_CP025274.1 Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1923 plasmid pSNE1-1923, complete sequence
NZ_CP025275.1 Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1923 plasmid pSNE2-1923
NZ_CP036177.1 Escherichia coli strain WCHEC025970 chromosome, complete genome
NZ_CP036178.1 Escherichia coli strain WCHEC025970 plasmid pCTXM199_025970, complete sequence
NZ_CP036179.1 Escherichia coli strain WCHEC025970 plasmid pNDM5_025970, complete sequence
NZ_CP036180.1 Escherichia coli strain WCHEC025970 plasmid p1_025970, complete sequence
NZ_CP036181.1 Escherichia coli strain WCHEC025970 plasmid p2_025970, complete sequence
NZ_CP036182.1 Escherichia coli strain WCHEC025970 plasmid p3_025970, complete sequence
NZ_CP036183.1 Escherichia coli strain WCHEC025970 plasmid p4_025970, complete sequence
NZ_CP036184.1 Escherichia coli strain WCHEC025970 plasmid p5_025970, complete sequence
NZ_CP036185.1 Escherichia coli strain WCHEC025970 plasmid p6_025970, complete sequence
NZ_CP037958.1 Salmonella enterica subsp. enterica serovar Goldcoast strain R18.0877 plasmid pR18.0877_3.3k, complete sequence
NZ_CP037959.1 Salmonella enterica subsp. enterica serovar Goldcoast strain R18.0877 plasmid pR18.0877_278k, complete sequence
NZ_CP037960.1 Salmonella enterica subsp. enterica serovar Goldcoast strain R18.0877 chromosome, complete genome
NZ_CP026463.1 Bordetella pertussis strain J250 chromosome, complete genome
NZ_CP039451.1 Psychroserpens sp. NJDZ02 chromosome, complete genome
NZ_CP033170.1 Xanthomonas oryzae pv. oryzae strain Ug11 chromosome, complete genome
NZ_CP037971.1 Burkholderia pseudomallei strain BPs133 chromosome 2, complete sequence
NZ_AP019378.1 Bordetella parapertussis strain Bpp01
NZ_CP026891.1 Bordetella pertussis strain J691 chromosome, complete genome
NZ_CP038595.1 Salmonella enterica subsp. enterica serovar Hadar strain 12-2388 chromosome, complete genome
NZ_CP038596.1 Salmonella enterica subsp. enterica serovar Hadar strain 12-2388 plasmid p12-2388.1, complete sequence
NZ_CP038597.1 Salmonella enterica subsp. enterica serovar Hadar strain 12-2388 plasmid p12-2388.2, complete sequence
NZ_CP038598.1 Salmonella enterica subsp. enterica serovar Hadar strain 12-2388 plasmid p12-2388.3, complete sequence
NZ_CP038599.1 Salmonella enterica subsp. enterica serovar Hadar strain 12-2388 plasmid p12-2388.4, complete sequence
NZ_CP038600.1 Salmonella enterica subsp. enterica serovar Hadar strain 12-2388 plasmid p12-2388.5, complete sequence
NZ_CP033191.1 Xanthomonas oryzae pv. oryzae strain PXO364 chromosome, complete genome
NZ_CP039564.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014848 chromosome, complete genome
NZ_CP038234.1 Leisingera sp. NJS201 chromosome, complete genome
NZ_CP038235.1 Leisingera sp. NJS201 plasmid unnamed1, complete sequence
NZ_CP038236.1 Leisingera sp. NJS201 plasmid unnamed2, complete sequence
NZ_CP038237.1 Leisingera sp. NJS201 plasmid unnamed3, complete sequence
NZ_CP038238.1 Leisingera sp. NJS201 plasmid unnamed4, complete sequence
NZ_CP038239.1 Leisingera sp. NJS201 plasmid unnamed5, complete sequence
NZ_CP038240.1 Leisingera sp. NJS201 plasmid unnamed6, complete sequence
NZ_CP019934.1 Bordetella bronchiseptica strain E016 chromosome, complete genome
NZ_CP026456.1 Bordetella pertussis strain J257 chromosome, complete genome
NZ_CP033175.1 Xanthomonas oryzae pv. oryzae strain CFBP7337 chromosome, complete genome
NZ_CP029057.1 Escherichia coli strain FORC_081 chromosome, complete genome
NZ_CP029058.1 Escherichia coli strain FORC_081 plasmid pFORC_081_1, complete sequence
NZ_CP029059.1 Escherichia coli strain FORC_081 plasmid pFORC_081_2, complete sequence
NZ_CP029060.1 Escherichia coli strain FORC_081 plasmid pFORC_081_3, complete sequence
NZ_CP029061.1 Escherichia coli strain FORC_081 plasmid pFORC_081_4, complete sequence
NZ_CP036451.1 Burkholderia pseudomallei strain BPs110 chromosome 2, complete sequence
NZ_CP035506.1 Haematobacter massiliensis strain OT1 plasmid pOT1-6, complete sequence
NZ_CP035507.1 Haematobacter massiliensis strain OT1 plasmid pOT1-7, complete sequence
NZ_CP035508.1 Haematobacter massiliensis strain OT1 plasmid pOT1-8, complete sequence
NZ_CP035509.1 Haematobacter massiliensis strain OT1 plasmid pOT1-9, complete sequence
NZ_CP035510.1 Haematobacter massiliensis strain OT1 chromosome, complete genome
NZ_CP035511.1 Haematobacter massiliensis strain OT1 plasmid pOT1-1, complete sequence
NZ_CP035512.1 Haematobacter massiliensis strain OT1 plasmid pOT1-2, complete sequence
NZ_CP035513.1 Haematobacter massiliensis strain OT1 plasmid pOT1-3, complete sequence
NZ_CP035514.1 Haematobacter massiliensis strain OT1 plasmid pOT1-4, complete sequence
NZ_CP035515.1 Haematobacter massiliensis strain OT1 plasmid pOT1-5, complete sequence
NZ_CP026988.1 Bordetella pertussis strain J247 chromosome, complete genome
NZ_CP026459.1 Bordetella pertussis strain J254 chromosome, complete genome
NZ_CP039254.1 Rhodococcus sp. PAMC28705 chromosome, complete genome
NZ_CP026909.1 Bordetella pertussis strain J589 chromosome, complete genome
NZ_CP033183.1 Xanthomonas oryzae pv. oryzae strain CFBP1951 chromosome, complete genome
NZ_CP039292.1 Actinomyces sp. dk561 chromosome, complete genome
NZ_CP026436.1 Bordetella pertussis strain J336 chromosome, complete genome
NZ_CP038213.1 Ornithinimicrobium flavum strain CPCC 203535 chromosome, complete genome
NZ_CP038642.1 Listeria monocytogenes strain N12-0935 chromosome, complete genome
NZ_CP038643.1 Listeria monocytogenes strain N12-0935 plasmid pLmN12-0935, complete sequence
NZ_CP026443.1 Bordetella pertussis strain J274 chromosome, complete genome
NZ_CP039460.1 Acetobacteraceae bacterium strain 868 chromosome, complete genome
NZ_CP039461.1 Acetobacteraceae bacterium strain 868 plasmid p1, complete sequence
NZ_CP037945.1 Escherichia coli strain CFSAN027346 chromosome, complete genome
NZ_CP037946.1 Escherichia coli strain CFSAN027346 plasmid pCFSAN027346-1, complete sequence
NZ_CP037947.1 Escherichia coli strain CFSAN027346 plasmid pCFSAN027346-2, complete sequence
NZ_CP038467.1 Serratia quinivorans strain PKL:12 chromosome, complete genome
NZ_CP032617.1 Bradyrhizobium diazoefficiens strain 110spc4 chromosome, complete genome
NZ_CP038853.1 Pantoea vagans strain LMG 24199 chromosome, complete genome
NZ_CP038854.1 Pantoea vagans strain LMG 24199 plasmid unnamed1, complete sequence
NZ_CP038855.1 Pantoea vagans strain LMG 24199 plasmid unnamed2, complete sequence
NZ_CP037925.1 Pseudomonas aeruginosa strain AES1M chromosome, complete genome
NZ_CP038013.1 Spiroplasma gladiatoris strain TG-1 chromosome, complete genome
NZ_CP037734.1 Citrobacter freundii strain CAV1857 chromosome, complete genome
NZ_CP037735.1 Citrobacter freundii strain CAV1857 plasmid pCAV1857-208, complete sequence
NZ_CP037736.1 Citrobacter freundii strain CAV1857 plasmid pCAV1857-105, complete sequence
NZ_CP037737.1 Citrobacter freundii strain CAV1857 plasmid pKPC_CAV1857-85, complete sequence
NZ_CP037738.1 Citrobacter freundii strain CAV1857 plasmid pCAV1857-47, complete sequence
NZ_CP037739.1 Citrobacter freundii strain CAV1857 plasmid pKPC_CAV1857-43, complete sequence
NZ_CP037740.1 Citrobacter freundii strain CAV1857 plasmid pCAV1857-3223, complete sequence
NZ_CP037741.1 Citrobacter freundii strain CAV1857 plasmid pCAV1857-1916, complete sequence
NZ_CP026666.1 Bordetella pertussis strain J375 chromosome, complete genome
NZ_CP038504.1 Corynebacterium diphtheriae strain TH1526 chromosome, complete genome
NZ_CP033176.1 Xanthomonas oryzae pv. oryzae strain CFBP7325 chromosome, complete genome
NZ_CP039452.1 Enterobacter bugandensis strain 1367 chromosome, complete genome
NZ_CP033187.2 Xanthomonas oryzae pv. oryzae strain PXO61 chromosome, complete genome
NZ_CP026470.1 Bordetella pertussis strain J376 chromosome, complete genome
NZ_CP038462.1 Nocardioides daphniae strain JCM 16608 chromosome, complete genome
NZ_CP039484.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000952 chromosome, complete genome
NZ_CP039485.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000952 plasmid pCFSAN000952, complete sequence
NZ_CP033173.1 Xanthomonas oryzae pv. oryzae strain CFBP8172 chromosome, complete genome
NZ_CP037759.1 Burkholderia pseudomallei strain BPs116 chromosome 2, complete sequence
NZ_CP026472.1 Bordetella pertussis strain J367 chromosome, complete genome
NZ_CP036254.1 Xanthomonas oryzae strain BB156-2 chromosome, complete genome
NZ_CP026626.1 Bordetella pertussis strain J523 chromosome, complete genome
NZ_CP039471.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000970 chromosome, complete genome
NZ_CP039472.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000970 plasmid pCFSAN000970, complete sequence
NZ_CP026908.1 Bordetella pertussis strain J603 chromosome, complete genome
NZ_CP039298.1 Escherichia coli strain PigCaeca_1 chromosome, complete genome
NZ_CP039299.1 Escherichia coli strain PigCaeca_1 plasmid unnamed1, complete sequence
NZ_CP039300.1 Escherichia coli strain PigCaeca_1 plasmid unnamed2, complete sequence
NZ_CP039301.1 Escherichia coli strain PigCaeca_1 plasmid unnamed3, complete sequence
NZ_CP039302.1 Escherichia coli strain PigCaeca_1 plasmid unnamed4, complete sequence
NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome
NZ_CP026889.1 Bordetella pertussis strain J693 chromosome, complete genome
NZ_CP036246.2 [Arcobacter] porcinus strain CCUG 56899 chromosome, complete genome
NZ_CP038101.1 Saccharomonospora sp. 31sw chromosome, complete genome
NZ_CP026457.1 Bordetella pertussis strain J256 chromosome, complete genome
NZ_CP019933.1 Bordetella holmesii strain F274 chromosome, complete genome
NZ_AP017632.1 Helicobacter pylori strain PMSS1
NZ_CP036453.1 Burkholderia pseudomallei strain BPs111 chromosome 2, complete sequence
NZ_CP035498.1 Escherichia coli strain 04-00955 chromosome, complete genome
NZ_CP039250.1 Sphingopyxis sp. PAMC25046 chromosome, complete genome
NZ_CP026883.1 Bordetella pertussis strain J702 chromosome, complete genome
NZ_CP033192.1 Xanthomonas oryzae pv. oryzae strain NX0260 chromosome, complete genome
NZ_CP038608.1 Salmonella enterica subsp. enterica serovar Senftenberg strain CFIAFB20170121 chromosome, complete genome
NZ_CP038609.1 Salmonella enterica subsp. enterica serovar Senftenberg strain CFIAFB20170121 plasmid pGTAFD2016-MI-0253.1, complete sequence
NZ_CP038610.1 Salmonella enterica subsp. enterica serovar Senftenberg strain CFIAFB20170121 plasmid pGTAFD2016-MI-0253.2, complete sequence
NZ_CP038611.1 Salmonella enterica subsp. enterica serovar Senftenberg strain CFIAFB20170121 plasmid pGTAFD2016-MI-0253.3, complete sequence
NZ_AP018162.1 Endosymbiont of Sipalinus gigas isolate NARSGI1
NZ_AP018163.1 Endosymbiont of Sipalinus gigas isolate NARSGI1 plasmid pSgi1, complete sequence
NZ_CP039572.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014855 chromosome, complete genome
