NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_CP050374.1 Klebsiella pneumoniae strain 50595 plasmid p50595_NDM_1, complete sequence
NZ_CP050375.1 Klebsiella pneumoniae strain 50595 plasmid p50595_OXA_181, complete sequence
NZ_CP028695.1 Escherichia coli strain 107 chromosome, complete genome
NZ_CP028696.1 Escherichia coli strain 107 plasmid pTA107-2, complete sequence
NZ_CP028697.1 Escherichia coli strain 107 plasmid pTA107, complete sequence
NZ_LR130548.1 Klebsiella pneumoniae strain KPC2 isolate KPC2 chromosome 1
NZ_LR130549.1 Klebsiella pneumoniae strain KPC2 isolate KPC2 plasmid 2
NZ_LR130550.1 Klebsiella pneumoniae strain KPC2 isolate KPC2 plasmid 3
NZ_LR130551.1 Klebsiella pneumoniae strain KPC2 isolate KPC2 plasmid 4
NZ_CP015777.1 Bacillus anthracis strain Tangail-1 plasmid pXO1, complete sequence
NZ_CP015778.1 Bacillus anthracis strain Tangail-1 plasmid pXO2, complete sequence
NZ_CP015779.1 Bacillus anthracis strain Tangail-1 chromosome, complete genome
NZ_CP033712.1 Yersinia pseudotuberculosis strain FDAARGOS_581 plasmid unnamed, complete sequence
NZ_CP012640.2 Massilia sp. WG5 chromosome, complete genome
NZ_CP012641.2 Massilia sp. WG5 plasmid unnamed 1, complete sequence
NZ_CP012642.1 Massilia sp. WG5 plasmid unnamed 2, complete sequence
NZ_CP043539.1 Escherichia coli O157 strain Al Ain chromosome, complete genome
NZ_CP025920.1 Escherichia coli strain 103605 chromosome, complete genome
NZ_CP025921.1 Escherichia coli strain 103605 plasmid p103605_146, complete sequence
NZ_CP025922.1 Escherichia coli strain 103605 plasmid p103605_83, complete sequence
NZ_CP021202.1 Escherichia coli strain Z1002 chromosome, complete genome
NZ_CP021203.1 Escherichia coli strain Z1002 plasmid p1002-1, complete sequence
NZ_CP021204.1 Escherichia coli strain Z1002 plasmid p1002-4, complete sequence
NZ_CP021205.1 Escherichia coli strain Z1002 plasmid p1002-MCR1, complete sequence
NZ_CP021206.1 Escherichia coli strain Z1002 plasmid p1002-NDM1, complete sequence
NZ_CP017573.1 Bacillus thuringiensis strain SCG04-02 plasmid PSCG61, complete sequence
NZ_CP017574.1 Bacillus thuringiensis strain SCG04-02 plasmid PSCG364, complete sequence
NZ_CP017575.1 Bacillus thuringiensis strain SCG04-02 plasmid PSCG11, complete sequence
NZ_CP017576.1 Bacillus thuringiensis strain SCG04-02 plasmid PSCG5, complete sequence
NZ_CP017577.1 Bacillus thuringiensis strain SCG04-02, complete genome
NZ_CP008831.1 Klebsiella pneumoniae subsp. pneumoniae KPR0928, complete sequence
NZ_CP008832.1 Klebsiella pneumoniae subsp. pneumoniae KPR0928 plasmid pKPN-294, complete sequence
NZ_CP008833.1 Klebsiella pneumoniae subsp. pneumoniae KPR0928 plasmid pKpQIL-531, complete sequence
NZ_CP018996.1 Escherichia coli strain Ecol_AZ153 plasmid pECAZ153_4, complete sequence
NZ_CP018997.1 Escherichia coli strain Ecol_AZ153 plasmid pECAZ153_3, complete sequence
NZ_CP018998.1 Escherichia coli strain Ecol_AZ153 plasmid pECAZ153_2, complete sequence
NZ_CP018999.1 Escherichia coli strain Ecol_AZ153 plasmid pECAZ153_KPC, complete sequence
NZ_CP019000.1 Escherichia coli strain Ecol_AZ153 chromosome, complete genome
NZ_CP033632.1 Escherichia coli isolate ECCNB12-2 plasmid pTB-nb1, complete sequence
NZ_CP033633.1 Escherichia coli isolate ECCNB12-2 plasmid pTB-nb2, complete sequence
NZ_CP033634.1 Escherichia coli isolate ECCNB12-2 plasmid pTB-nb3, complete sequence
NZ_CP033635.1 Escherichia coli isolate ECCNB12-2 chromosome, complete genome
NZ_CP033636.1 Escherichia coli isolate ECCNB12-2 plasmid pTB-nb4, complete sequence
NZ_CP018363.1 Mycobacterium avium subsp. hominissuis strain H87 chromosome, complete genome
NZ_CP031068.1 Bacillus sp. JAS24-2 chromosome, complete genome
NZ_CP031069.1 Bacillus sp. JAS24-2 plasmid pl626, complete sequence
NZ_CP018665.1 Klebsiella pneumoniae strain CAV1042 plasmid pCAV1042-2781, complete sequence
NZ_CP018666.1 Klebsiella pneumoniae strain CAV1042 plasmid pCAV1042-3223, complete sequence
NZ_CP018667.1 Klebsiella pneumoniae strain CAV1042 plasmid pCAV1042-5566, complete sequence
NZ_CP018668.1 Klebsiella pneumoniae strain CAV1042 plasmid pKPC_CAV1042-44, complete sequence
NZ_CP018669.1 Klebsiella pneumoniae strain CAV1042 plasmid pKPC_CAV1042-89, complete sequence
NZ_CP018670.1 Klebsiella pneumoniae strain CAV1042 plasmid pCAV1042-183, complete sequence
NZ_CP018671.1 Klebsiella pneumoniae strain CAV1042 chromosome, complete genome
NZ_CP040182.1 Serratia fonticola strain MS5 chromosome, complete genome
NZ_CP027342.1 Escherichia coli strain 2014C-4587 chromosome, complete genome
NZ_CP027343.1 Escherichia coli strain 2014C-4587 plasmid unnamed, complete sequence
NZ_CP011250.1 Xanthomonas citri pv. aurantifolii strain FDC 1561 chromosome, complete genome
NZ_CP011251.1 Xanthomonas citri pv. aurantifolii strain FDC 1561 plasmid pXfb33, complete sequence
NZ_AP017367.1 Leptolyngbya sp. O-77
NZ_CP042645.1 Escherichia coli strain NCYU-21-79 chromosome, complete genome
NZ_CP042646.1 Escherichia coli strain NCYU-21-79 plasmid pNCYU-21-79-1, complete sequence
NZ_CP042647.1 Escherichia coli strain NCYU-21-79 plasmid pNCYU-21-79-2_MCR1, complete sequence
NZ_CP042648.1 Escherichia coli strain NCYU-21-79 plasmid pNCYU-21-79-3, complete sequence
NZ_CP042649.1 Escherichia coli strain NCYU-21-79 plasmid pNCYU-21-79-4, complete sequence
NZ_CP021006.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6975 chromosome, complete genome
NZ_CP021007.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6975 plasmid pC, complete sequence
NZ_CP021008.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6975 plasmid pA, complete sequence
NZ_CP021009.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6975 plasmid pB, complete sequence
NZ_CP021010.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6975 plasmid unnamed1, complete sequence
NZ_CP018450.1 Klebsiella pneumoniae strain Kp_Goe_71070 chromosome, complete genome
NZ_CP018451.1 Klebsiella pneumoniae strain Kp_Goe_71070 plasmid pKp_Goe_070-1, complete sequence
NZ_CP018452.1 Klebsiella pneumoniae strain Kp_Goe_71070 plasmid pKp_Goe_070-2, complete sequence
NZ_CP018453.1 Klebsiella pneumoniae strain Kp_Goe_71070 plasmid pKp_Goe_070-3, complete sequence
NZ_CP027459.1 Escherichia coli strain 90-3040 chromosome, complete genome
NZ_CP027460.1 Escherichia coli strain 90-3040 plasmid unnamed, complete sequence
NZ_CP014667.1 Escherichia coli strain ECONIH2, complete genome
NZ_CP014668.1 Escherichia coli strain ECONIH2 plasmid pECO-bc6, complete sequence
NZ_CP014669.1 Escherichia coli strain ECONIH2 plasmid pKpQIL-571, complete sequence
NZ_CP034082.1 Klebsiella pneumoniae subsp. pneumoniae strain R210-2 chromosome, complete genome
NZ_CP034083.1 Klebsiella pneumoniae subsp. pneumoniae strain R210-2 plasmid pR210-2-vir, complete sequence
NZ_CP034084.1 Klebsiella pneumoniae subsp. pneumoniae strain R210-2 plasmid pR210-2-VIM, complete sequence
NZ_CP034085.1 Klebsiella pneumoniae subsp. pneumoniae strain R210-2 plasmid pR210-2-CTX, complete sequence
NZ_CP034180.1 Mycobacteroides abscessus strain GZ002 plasmid pMabS_GZ002, complete sequence
NZ_CP034181.1 Mycobacteroides abscessus strain GZ002 chromosome, complete genome
NZ_CP025328.1 Escherichia coli strain ExPEC XM chromosome, complete genome
NZ_CP025329.1 Escherichia coli strain ExPEC XM plasmid unnamed
NZ_CP024886.1 Escherichia coli strain AR_0017 chromosome, complete genome
NZ_CP024887.1 Escherichia coli strain AR_0017 plasmid unitig_1_pilon, complete sequence
NZ_CP036371.1 Klebsiella pneumoniae strain WCHKP020037 chromosome, complete genome
NZ_CP036372.1 Klebsiella pneumoniae strain WCHKP020037 plasmid pKPC2_020037, complete sequence
NZ_CP036373.1 Klebsiella pneumoniae strain WCHKP020037 plasmid p1_020037, complete sequence
NZ_CP036374.1 Klebsiella pneumoniae strain WCHKP020037 plasmid p2_020037, complete sequence
NZ_CP036375.1 Klebsiella pneumoniae strain WCHKP020037 plasmid p3_020037, complete sequence
NZ_CP049748.1 Rhodococcus fascians A21d2 chromosome, complete genome
NZ_CP049749.1 Rhodococcus fascians A21d2 plasmid pA21d2, complete sequence
NZ_CP049750.1 Rhodococcus fascians A21d2 plasmid unnamed1
NZ_CP049751.1 Rhodococcus fascians A21d2 plasmid unnamed2, complete sequence
NZ_CP004858.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520, complete genome
NZ_CP004859.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB2062, complete sequence
NZ_CP004860.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB422, complete sequence
NZ_CP004861.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB293, complete sequence
NZ_CP004862.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB53, complete sequence
NZ_CP004863.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB11, complete sequence
NZ_CP004864.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB8513, complete sequence
NZ_CP004865.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB8240, complete sequence
NZ_CP004866.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence
NZ_CP004867.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7635, complete sequence
NZ_CP004868.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB94, complete sequence
NZ_CP004869.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB67, complete sequence
NZ_CP012252.1 Klebsiella quasipneumoniae strain HKUOPLA chromosome, complete genome
NZ_CP010876.1 Escherichia coli strain MNCRE44 chromosome, complete genome
NZ_CP010877.1 Escherichia coli strain MNCRE44 plasmid pMNCRE44_1, complete sequence
NZ_CP010878.1 Escherichia coli strain MNCRE44 plasmid pMNCRE44_2, complete sequence
NZ_CP010879.1 Escherichia coli strain MNCRE44 plasmid pMNCRE44_3, complete sequence
NZ_CP010880.1 Escherichia coli strain MNCRE44 plasmid pMNCRE44_4, complete sequence
NZ_CP010881.1 Escherichia coli strain MNCRE44 plasmid pMNCRE44_5, complete sequence
NZ_CP010882.1 Escherichia coli strain MNCRE44 plasmid pMNCRE44_6, complete sequence
NZ_CP022529.1 Labrenzia sp. VG12 chromosome, complete genome
NZ_CP047607.1 Methylobacterium sp. NI91 chromosome, complete genome
NZ_CP026715.1 Klebsiella oxytoca strain AR_0028 chromosome, complete genome
NZ_CP026716.1 Klebsiella oxytoca strain AR_0028 plasmid unitig_1_pilon, complete sequence
NZ_CP026717.1 Klebsiella oxytoca strain AR_0028 plasmid unitig_2_pilon, complete sequence
NZ_CP026718.1 Klebsiella oxytoca strain AR_0028 plasmid unitig_3_pilon, complete sequence
NZ_CP033201.1 Xanthomonas oryzae pv. oryzae strain BXO1 chromosome, complete genome
NZ_CP033202.1 Xanthomonas oryzae pv. oryzae strain BXO1 plasmid pBXO1-1, complete sequence
NZ_CP033203.1 Xanthomonas oryzae pv. oryzae strain BXO1 plasmid pBXO1-2, complete sequence
NZ_CP007506.3 Pandoraea pnomenusa strain RB38, complete genome
NZ_CP003560.1 Flammeovirga sp. MY04 chromosome 1, complete sequence
NZ_CP003561.1 Flammeovirga sp. MY04 chromosome 2, complete sequence
NZ_CP003562.1 Flammeovirga sp. MY04 plasmid unnamed, complete sequence
NZ_CP037440.1 Bacteroides fragilis strain DCMOUH0085B chromosome, complete genome
NZ_CP009462.1 Bacillus anthracis strain SK-102 plasmid pXO2, complete sequence
NZ_CP009463.1 Bacillus anthracis strain SK-102 plasmid pXO1, complete sequence
NZ_CP009464.1 Bacillus anthracis strain SK-102 chromosome, complete genome
NZ_CP008993.1 Xanthomonas citri pv. citri strain NT17 plasmid pXAC33, complete sequence
NZ_CP008994.1 Xanthomonas citri pv. citri strain NT17 plasmid pXAC64, complete sequence
NZ_CP008995.1 Xanthomonas citri pv. citri strain NT17 chromosome, complete genome
NZ_CP040701.1 Salmonella enterica strain 3 isolate CFSAN047349 chromosome, complete genome
NZ_CP040702.1 Salmonella enterica strain 3 isolate CFSAN047349 plasmid unnamed, complete sequence
NZ_CP025862.1 Escherichia coli strain 504237 chromosome, complete genome
NZ_CP025863.1 Escherichia coli strain 504237 plasmid p504237_142, complete sequence
NZ_CP025864.1 Escherichia coli strain 504237 plasmid p504237_36, complete sequence
NZ_CP031968.1 Chromobacterium rhizoryzae strain JP2-74 chromosome, complete genome
NZ_CP050009.1 Citrobacter sp. Y3 chromosome, complete genome
NZ_CP050010.1 Citrobacter sp. Y3 plasmid unnamed1, complete sequence
NZ_CP050011.1 Citrobacter sp. Y3 plasmid unnamed2, complete sequence
NZ_CP014069.2 Citrobacter amalonaticus strain FDAARGOS_165 plasmid unnamed
NZ_CP014070.2 Citrobacter amalonaticus strain FDAARGOS_165 chromosome, complete genome
NZ_CP034808.1 Escherichia coli strain 08-3914 chromosome, complete genome
NZ_CP034809.1 Escherichia coli strain 08-3914 plasmid p08-3914, complete sequence
NZ_CP020981.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6989 chromosome, complete genome
NZ_CP020982.1 Xanthomonas citri pv. phaseoli var. fuscans strain CFBP6989 plasmid pA, complete sequence
NZ_CP040245.1 Mycobacterium avium subsp. hominissuis strain 101034 plasmid pMARIA, complete sequence
NZ_CP040246.1 Mycobacterium avium subsp. hominissuis strain 101034 plasmid pFLAC0181_CHOP1, complete sequence
NZ_CP040247.1 Mycobacterium avium subsp. hominissuis strain 101034 chromosome, complete genome
NZ_CP010518.2 Pandoraea apista strain TF81F4, complete genome
NZ_AP014951.1 Klebsiella oxytoca strain JKo3
NZ_AP014952.1 Klebsiella oxytoca strain JKo3 plasmid pKO_JKo3_1, complete sequence
NZ_AP014953.1 Klebsiella oxytoca strain JKo3 plasmid pKO_JKo3_2, complete sequence
NZ_AP014954.1 Klebsiella oxytoca strain JKo3 plasmid pKO_JKo3_3, complete sequence
NZ_AP014955.1 Klebsiella oxytoca strain JKo3 plasmid pKO_JKo3_4, complete sequence
NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome
NZ_CP027353.1 Escherichia coli strain 2012C-4606 plasmid unnamed1
NZ_CP027354.1 Escherichia coli strain 2012C-4606 plasmid unnamed2
NZ_CP013024.1 Escherichia coli strain 2009C-3133 plasmid unnamed1, complete sequence
NZ_CP013025.1 Escherichia coli strain 2009C-3133 chromosome, complete genome
NZ_CP013026.1 Escherichia coli strain 2009C-3133 plasmid unnamed2, complete sequence
NZ_CP013027.1 Escherichia coli strain 2009C-3133 plasmid unnamed3, complete sequence
NZ_CP021396.1 Bordetella hinzii strain 4134 chromosome, complete genome
NZ_CP046019.1 Xanthomonas citri pv. malvacearum strain HD-1 chromosome, complete genome
NZ_CP046020.1 Xanthomonas citri pv. malvacearum strain HD-1 plasmid unnamed1, complete sequence
NZ_CP046021.1 Xanthomonas citri pv. malvacearum strain HD-1 plasmid unnamed2, complete sequence
NZ_CP020925.1 Sphingobium yanoikuyae strain SHJ chromosome, complete genome
NZ_CP020926.1 Sphingobium yanoikuyae strain SHJ plasmid pSES220, complete sequence
NZ_CP020927.1 Sphingobium yanoikuyae strain SHJ plasmid pSES189, complete sequence
NZ_CP026017.1 Klebsiella pneumoniae strain 13190 chromosome, complete genome
NZ_CP026018.1 Klebsiella pneumoniae strain 13190 plasmid p13190-2, complete sequence
NZ_CP026019.1 Klebsiella pneumoniae strain 13190 plasmid p13190-1, complete sequence
NZ_CP026020.1 Klebsiella pneumoniae strain 13190 plasmid p13190-3, complete sequence
NZ_CP020002.1 Bacillus thuringiensis strain Bacillus thuringiensis L-7601 chromosome, complete genome
NZ_CP020003.1 Bacillus thuringiensis strain Bacillus thuringiensis L-7601 plasmid unnamed1, complete sequence
NZ_CP020004.1 Bacillus thuringiensis strain Bacillus thuringiensis L-7601 plasmid unnamed2, complete sequence
NZ_CP020005.1 Bacillus thuringiensis strain Bacillus thuringiensis L-7601 plasmid unnamed3, complete sequence
NZ_CP046058.1 Microcystis aeruginosa NIES-298 chromosome, complete genome
NZ_CP046059.1 Microcystis aeruginosa NIES-298 plasmid unnamed1, complete sequence
NZ_CP030849.1 Pandoraea sp. XY-2 chromosome, complete genome
NZ_CP010268.1 Paenibacillus polymyxa strain Sb3-1 chromosome, complete genome
NZ_CP010269.1 Paenibacillus polymyxa strain Sb3-1 plasmid pSb31s, complete sequence
NZ_CP010270.1 Paenibacillus polymyxa strain Sb3-1 plasmid pSb31l, complete sequence
NZ_CP007136.1 Escherichia coli O145:H28 str. RM12581 chromosome, complete genome
NZ_CP007137.1 Escherichia coli O145:H28 str. RM12581 plasmid pRM12581, complete sequence
NZ_CP007138.1 Escherichia coli O145:H28 str. RM12581 plasmid pO145-12581, complete sequence
NZ_CP013965.1 Aeromonas hydrophila strain D4, complete genome
NZ_CP013966.1 Aeromonas hydrophila strain D4 plasmid pAhD4-1, complete sequence
NZ_CP013967.1 Aeromonas hydrophila strain D4 plasmid pAhD4-2, complete sequence
NZ_CP013968.1 Aeromonas hydrophila strain D4 plasmid pAhD4-3, complete sequence
NZ_CP013969.1 Aeromonas hydrophila strain D4 plasmid pAhD4-4, complete sequence
NZ_CP033256.1 Salmonella enterica subsp. enterica strain CFSA12 plasmid pCFSA12, complete sequence
NZ_CP033257.2 Salmonella enterica subsp. enterica strain CFSA12 chromosome, complete genome
NZ_CP036327.1 Klebsiella pneumoniae strain BA28434 chromosome, complete genome
NZ_CP036328.1 Klebsiella pneumoniae strain BA28434 plasmid pIncFIBpQil, complete sequence
NZ_CP036329.1 Klebsiella pneumoniae strain BA28434 plasmid pIncFIA
NZ_CP036330.1 Klebsiella pneumoniae strain BA28434 plasmid punnamed_1_VBA28434
NZ_CP036331.1 Klebsiella pneumoniae strain BA28434 plasmid pColKP3
NZ_CP036332.1 Klebsiella pneumoniae strain BA28434 plasmid punnamed_3_VBA28434
NZ_CP036333.1 Klebsiella pneumoniae strain BA28434 plasmid punnamed_2_VBA28434
NZ_CP036334.1 Klebsiella pneumoniae strain BA28434 plasmid punnamed_4_VBA28434
NZ_CP021544.1 Klebsiella pneumoniae strain AR_0112 plasmid tig00000000, complete sequence
NZ_CP021545.1 Klebsiella pneumoniae strain AR_0112 plasmid tig00000001, complete sequence
NZ_CP021546.1 Klebsiella pneumoniae strain AR_0112 plasmid tig00000002, complete sequence
NZ_CP021547.1 Klebsiella pneumoniae strain AR_0112 plasmid tig00000003, complete sequence
NZ_CP021548.1 Klebsiella pneumoniae strain AR_0112 plasmid tig00000005, complete sequence
NZ_CP021549.1 Klebsiella pneumoniae strain AR_0112, complete genome
NZ_CP050376.1 Klebsiella pneumoniae strain 51015 chromosome, complete genome
NZ_CP050377.1 Klebsiella pneumoniae strain 51015 plasmid p51015, complete sequence
NZ_CP050378.1 Klebsiella pneumoniae strain 51015 plasmid p51015_COL_RNAI, complete sequence
NZ_CP050379.1 Klebsiella pneumoniae strain 51015 plasmid p51015_CTX_M_15, complete sequence
NZ_CP050380.1 Klebsiella pneumoniae strain 51015 plasmid p51015_NDM_1, complete sequence
NZ_CP050381.1 Klebsiella pneumoniae strain 51015 plasmid p51015_OXA_244, complete sequence
NZ_AP013063.1 Serratia marcescens SM39
NZ_AP013064.1 Serratia marcescens SM39 plasmid pSMC1, complete sequence
NZ_AP013065.1 Serratia marcescens SM39 plasmid pSMC2, complete sequence
NZ_CP051218.1 Salmonella sp. SCFS4 chromosome, complete genome
NZ_LR134480.1 Bordetella bronchiseptica strain NCTC8344 chromosome 1
NZ_CP018966.1 Escherichia coli strain Ecol_542 plasmid pEC542_4, complete sequence
NZ_CP018967.1 Escherichia coli strain Ecol_542 plasmid pEC542_3, complete sequence
NZ_CP018968.1 Escherichia coli strain Ecol_542 plasmid pEC542_KPC, complete sequence
